gene_id,E-PG_l1r1,E-PG_l1r2,E-PG_l2r1,E-PG_l2r2,P-EG_r1,P-EG_r2,D7_l1r1,D7_l1r2,D7_l2r1,D7_l2r2,P-EN2_l1r1,P-EN2_l2r1,wholebrain_1,wholebrain_2
FBgn0023479,0.0,0.07,4.97,0.58,35.13,3.01,4.45,0.29,2.68,4.31,0.54,1.17,33.73,30.95
FBgn0023489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.49,0.06
FBgn0023495,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.18,0.23
FBgn0023496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.07
FBgn0023506,0.09,0.05,0.23,1.08,0.42,0.0,0.19,0.85,0.26,0.06,0.0,0.0,3.24,2.08
FBgn0023507,1.01,0.05,0.0,0.03,0.46,0.0,1.33,0.0,0.0,0.0,0.36,0.08,1.32,1.17
FBgn0023508,2.61,14.56,10.45,14.49,9.01,7.88,8.42,2.82,7.16,10.1,31.32,0.26,10.04,11.89
FBgn0023509,2.21,0.1,0.14,0.1,0.2,2.26,0.0,0.23,0.53,3.57,0.17,0.04,2.38,2.37
FBgn0023510,5.29,10.72,12.73,7.48,13.13,12.13,15.66,7.72,9.09,21.46,6.56,12.44,23.99,23.26
FBgn0023511,1.15,2.38,2.48,1.13,1.33,0.19,0.45,0.26,0.19,0.29,7.22,16.14,4.16,4.06
FBgn0023512,2.14,4.87,0.02,2.79,0.54,0.0,0.21,0.21,5.0,11.62,0.0,0.0,2.34,2.45
FBgn0023513,0.15,5.39,0.0,0.32,0.01,0.17,5.84,9.14,2.21,1.46,0.0,0.0,0.22,0.19
FBgn0023514,5.45,2.6,4.18,0.74,1.71,0.08,0.05,0.0,0.0,0.59,0.0,14.07,2.21,2.76
FBgn0023515,0.0,0.0,1.79,0.0,0.02,3.0,0.0,0.0,0.0,0.05,0.0,0.13,0.86,0.51
FBgn0023516,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.04,0.49,0.0,0.0,0.0,0.57,0.48
FBgn0023517,1.28,0.18,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,2.32
FBgn0023518,0.58,8.64,5.36,1.97,11.64,10.2,8.39,8.67,5.65,4.08,4.41,14.77,6.28,6.43
FBgn0023519,0.0,0.23,0.0,1.33,2.52,0.51,1.49,0.08,3.98,6.21,0.04,0.0,0.8,4.11
FBgn0023520,0.72,1.53,0.41,0.87,0.39,0.15,3.89,2.33,0.67,0.31,0.67,0.85,1.26,1.09
FBgn0023521,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.77
FBgn0023522,2.68,5.75,5.91,0.97,0.39,0.22,1.86,1.45,4.88,2.82,0.56,0.02,4.87,6.48
FBgn0023523,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.37,0.03,0.0,0.0,0.05,0.0
FBgn0023524,10.96,22.7,2.77,6.12,0.37,16.97,9.57,18.16,15.21,15.21,2.42,0.87,7.82,7.87
FBgn0023525,0.0,0.0,0.0,0.0,2.16,0.0,0.08,0.0,0.7,0.11,0.0,0.0,0.36,0.46
FBgn0023526,3.24,11.16,3.49,8.95,16.25,23.62,13.3,15.08,18.89,48.62,6.62,16.22,37.99,40.23
FBgn0023527,0.32,0.71,0.0,0.31,0.18,0.05,0.56,0.0,1.31,1.15,0.07,0.0,0.8,0.67
FBgn0023528,12.74,29.93,19.11,12.65,10.89,49.1,36.69,15.49,22.49,27.41,13.86,75.94,59.97,59.01
FBgn0023529,0.31,4.24,6.0,3.04,4.68,9.92,11.71,4.4,16.17,19.96,7.48,2.66,13.13,12.94
FBgn0023530,0.0,0.12,0.0,0.0,0.0,0.0,4.27,0.0,0.65,0.0,0.0,0.0,0.46,0.88
FBgn0023531,33.32,47.28,79.85,54.21,68.17,62.71,24.31,16.19,30.5,30.13,64.38,34.59,69.84,67.98
FBgn0023534,6.3,68.78,45.18,81.0,25.34,53.8,19.59,7.51,21.0,39.73,22.23,36.84,66.19,67.75
FBgn0023535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0
FBgn0023536,0.03,0.0,0.81,0.01,0.01,0.28,0.66,26.12,0.16,3.36,0.0,0.0,1.41,2.59
FBgn0023537,0.0,0.05,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72,4.49
FBgn0023540,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.16
FBgn0023541,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.24,0.17,0.18
FBgn0023542,0.0,0.0,0.38,6.59,1.41,0.0,3.48,9.6,0.0,0.02,0.07,0.07,1.27,1.42
FBgn0023545,8.04,0.4,3.08,0.71,2.42,8.67,0.07,1.48,1.12,1.01,0.19,2.62,3.65,3.95
FBgn0023549,2.58,1.61,0.0,0.0,0.56,0.78,1.8,1.33,1.3,0.0,0.0,0.01,1.03,1.51
FBgn0023550,0.0,0.16,0.0,0.0,0.0,0.0,0.05,0.39,0.0,1.99,0.0,0.0,1.1,0.35
FBgn0024150,0.0,0.04,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.05,0.0,0.07,2.1,1.92
FBgn0024177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.04
FBgn0024179,10.92,16.46,20.31,7.41,1.51,3.43,2.79,8.3,2.63,5.64,8.18,8.55,10.33,11.72
FBgn0024182,0.0,0.02,0.89,0.01,0.0,0.05,1.87,0.0,0.01,0.23,0.47,0.55,0.37,0.44
FBgn0024183,46.93,48.17,80.9,33.22,32.36,90.83,32.03,14.71,53.53,59.18,44.45,33.03,104.01,105.3
FBgn0024184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,2.07,1.45
FBgn0024187,7.96,25.17,3.66,12.88,7.97,8.37,7.6,4.16,7.2,13.16,6.14,2.71,18.76,18.09
FBgn0024188,5.67,3.45,2.49,9.8,6.78,0.23,8.69,2.4,5.64,5.21,0.18,0.0,13.26,14.74
FBgn0024189,15.55,13.03,7.82,9.66,4.94,8.01,28.51,29.16,26.44,51.61,7.22,5.02,16.52,17.24
FBgn0024191,0.0,0.03,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.07,0.02,0.0,0.43,0.39
FBgn0024194,0.0,0.16,0.0,0.0,0.02,3.08,3.3,0.0,0.0,0.0,2.82,0.0,0.04,0.22
FBgn0024196,4.93,3.37,1.05,0.85,2.5,0.0,0.0,25.19,0.0,0.0,0.0,1.03,3.36,5.83
FBgn0024222,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,1.66
FBgn0024227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.14
FBgn0024230,1.05,0.95,1.09,0.04,1.77,5.75,0.1,1.65,2.33,0.34,0.27,0.02,6.34,8.1
FBgn0024232,34.58,36.22,30.25,48.56,19.35,41.14,24.33,23.87,29.87,22.71,22.97,53.92,34.59,35.39
FBgn0024234,0.0,0.0,0.0,0.38,0.97,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.81,0.97
FBgn0024236,2.07,13.83,20.4,18.02,10.56,24.51,9.41,2.94,7.85,17.98,19.88,5.91,31.87,30.96
FBgn0024238,10.18,12.08,9.97,15.19,8.85,26.22,10.06,17.69,12.51,17.73,3.64,10.64,22.17,20.69
FBgn0024244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31,2.5
FBgn0024245,1.13,1.89,4.15,0.89,0.0,6.85,0.06,0.0,0.04,0.0,0.35,2.42,2.7,2.69
FBgn0024248,9.46,16.11,8.98,6.48,4.27,13.36,4.92,1.67,4.95,6.07,0.28,7.23,15.51,15.23
FBgn0024249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.09
FBgn0024250,0.66,0.63,0.1,0.04,9.94,0.35,3.0,15.04,10.39,10.09,39.54,0.82,8.91,9.54
FBgn0024251,3.88,6.54,9.63,7.26,12.13,0.71,4.67,15.55,3.47,8.44,3.25,29.33,18.49,18.15
FBgn0024273,1.47,1.78,7.87,1.58,9.13,3.0,6.61,1.02,10.31,8.57,4.53,18.5,11.29,11.88
FBgn0024277,36.98,75.6,85.22,131.38,54.59,77.53,60.24,55.19,67.33,83.19,88.49,93.08,101.78,101.11
FBgn0024285,0.18,7.58,2.28,7.28,3.44,16.68,1.0,3.82,8.18,4.41,5.27,12.69,6.04,7.55
FBgn0024288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,4.05,0.0,0.0,0.21,0.03
FBgn0024289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.37
FBgn0024291,3.57,8.47,11.47,6.68,7.1,17.94,13.75,1.84,23.04,24.61,5.93,3.97,20.8,17.49
FBgn0024293,0.0,0.0,0.0,0.0,5.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.23,6.71
FBgn0024294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3
FBgn0024314,0.0,0.03,4.27,0.0,1.2,1.77,0.0,0.0,0.19,0.03,0.01,0.03,0.62,0.68
FBgn0024315,19.68,1.27,0.0,0.33,51.51,2.1,0.0,0.0,0.26,0.01,0.38,0.09,38.6,37.9
FBgn0024319,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.0,1.66,0.05,0.0,0.0,0.08,0.13
FBgn0024320,10.79,16.82,8.56,12.47,2.85,7.58,12.34,7.4,8.34,19.38,12.38,1.32,29.55,28.95
FBgn0024321,3.27,4.04,6.34,3.84,10.24,43.09,1.39,0.02,0.0,0.3,32.86,16.95,25.6,26.8
FBgn0024326,15.46,22.6,41.79,49.74,13.18,25.22,12.58,21.45,32.51,38.43,25.41,10.18,53.24,50.2
FBgn0024329,5.64,0.82,0.69,0.69,0.42,2.59,0.15,0.41,0.67,1.57,10.16,11.11,1.83,1.82
FBgn0024330,0.29,1.71,2.0,4.12,2.63,11.15,0.23,0.41,0.76,0.47,0.02,8.34,4.42,2.76
FBgn0024352,0.31,3.62,14.83,8.51,5.07,24.23,12.16,0.72,4.87,38.05,1.75,0.31,6.55,7.66
FBgn0024360,3.67,0.0,0.35,4.39,0.0,0.23,0.0,12.5,0.12,0.11,9.54,0.52,0.69,0.4
FBgn0024361,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.19,0.32,0.0,0.0,0.3,0.0
FBgn0024362,1.33,2.74,16.7,0.96,1.54,10.21,6.83,0.33,23.57,4.55,7.26,0.3,10.43,8.27
FBgn0024364,0.0,0.0,0.0,0.0,0.0,0.29,0.46,0.0,0.24,0.41,1.35,0.0,0.66,1.09
FBgn0024365,0.0,5.22,3.41,0.36,10.13,5.44,1.27,2.67,4.89,3.9,1.57,0.02,7.22,6.97
FBgn0024366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.29,0.24
FBgn0024371,0.0,2.51,1.04,11.33,6.63,0.0,3.48,0.56,0.97,0.13,0.0,0.06,1.82,2.19
FBgn0024432,3.45,44.77,26.38,13.38,20.57,24.3,48.36,3.27,110.61,24.37,11.46,15.39,30.97,29.41
FBgn0024491,1.44,3.49,1.11,4.11,0.58,2.01,5.65,4.0,3.6,4.62,6.34,8.91,9.77,8.72
FBgn0024509,0.0,16.64,2.84,1.02,4.37,0.38,0.7,0.19,3.28,0.03,0.02,0.0,4.02,4.75
FBgn0024510,0.0,1.8,2.86,0.55,0.12,1.26,9.5,1.88,5.86,3.1,1.6,4.5,1.96,1.92
FBgn0024542,11.39,0.91,1.5,5.52,0.02,10.49,11.5,0.07,0.56,0.19,1.48,0.25,1.83,2.11
FBgn0024555,22.96,36.58,30.9,39.74,37.64,41.82,19.34,23.76,16.27,30.24,29.62,61.63,60.77,59.29
FBgn0024556,0.5,7.14,7.02,1.64,3.14,15.41,2.52,0.05,0.28,1.83,1.35,0.0,4.42,6.11
FBgn0024558,2.13,0.17,0.66,0.18,0.41,0.0,2.63,0.0,0.0,0.0,0.0,0.0,1.04,1.65
FBgn0024689,0.06,0.15,1.93,0.0,0.0,0.07,1.04,1.3,4.6,0.24,0.0,1.55,1.56,1.64
FBgn0024698,0.77,0.17,0.35,0.63,4.29,1.38,0.77,3.27,0.61,0.04,3.06,0.0,2.11,2.21
FBgn0024728,39.18,23.44,82.79,27.78,19.07,32.45,7.12,13.66,10.68,22.76,42.23,4.63,73.41,68.03
FBgn0024732,33.18,43.99,13.28,19.49,6.59,15.19,4.67,1.35,1.34,7.93,13.67,24.49,35.95,39.45
FBgn0024733,66.25,31.04,45.6,85.19,158.82,4.12,61.04,59.62,38.79,28.63,50.48,15.77,100.94,112.68
FBgn0024734,16.94,27.38,29.33,25.13,29.36,38.91,33.26,8.38,10.28,30.59,26.49,10.49,77.23,79.52
FBgn0024740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.05
FBgn0024754,2.07,4.8,6.62,3.37,26.59,13.96,3.34,0.63,5.48,3.76,0.14,0.79,14.14,15.06
FBgn0024804,9.3,11.91,4.19,10.98,19.71,8.79,18.26,12.88,12.4,10.19,15.74,14.76,36.81,37.29
FBgn0024806,13.99,24.81,28.2,18.25,12.51,15.64,17.41,10.47,11.01,14.37,21.12,9.88,36.2,34.71
FBgn0024807,47.91,95.02,105.44,99.69,81.4,122.86,58.06,143.15,88.61,65.21,106.62,82.65,128.81,133.62
FBgn0024811,14.82,9.6,10.07,16.36,14.96,10.07,2.69,0.65,8.37,3.27,18.9,45.47,37.06,31.59
FBgn0024814,2.94,13.76,8.48,5.27,11.97,39.12,11.96,24.59,5.93,7.53,0.24,0.07,15.12,17.94
FBgn0024833,1.03,0.25,2.7,3.33,0.98,0.91,3.51,0.33,0.79,1.55,0.45,4.29,4.04,4.03
FBgn0024836,15.99,25.26,26.07,32.82,4.23,3.13,3.24,7.57,4.35,8.85,12.57,1.16,14.11,13.68
FBgn0024841,1.5,1.9,0.79,0.0,0.19,3.28,20.86,0.78,5.59,3.65,0.66,5.96,3.67,4.65
FBgn0024846,0.0,0.97,0.03,3.57,0.0,0.05,10.02,4.17,0.53,4.11,1.14,0.0,1.33,1.46
FBgn0024887,0.0,1.09,2.41,0.31,0.06,8.56,0.0,0.0,3.19,1.41,1.11,0.0,4.63,3.33
FBgn0024889,7.21,15.54,4.67,10.37,25.66,17.98,15.57,2.07,12.78,22.35,9.16,2.6,15.28,13.51
FBgn0024897,0.0,0.0,0.17,0.0,0.16,0.0,1.99,0.23,0.01,0.0,0.0,0.0,0.42,0.2
FBgn0024909,0.34,1.5,4.22,4.87,0.75,0.0,4.04,0.06,2.68,7.21,0.02,1.85,6.28,4.88
FBgn0024912,0.0,0.0,0.02,20.5,5.92,0.17,0.0,0.99,0.0,0.88,0.05,18.94,2.7,2.28
FBgn0024913,15.28,6.05,9.45,13.4,13.47,13.29,10.19,3.32,7.07,6.17,5.9,17.79,30.07,30.42
FBgn0024920,0.07,0.21,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.33,0.61
FBgn0024921,4.39,15.36,17.89,11.86,5.86,6.66,5.4,10.51,12.5,17.55,26.29,4.56,26.84,24.66
FBgn0024941,26.71,37.77,43.32,47.46,20.03,48.59,36.41,16.63,42.09,44.12,11.82,23.44,50.36,47.69
FBgn0024943,0.13,0.19,0.16,0.01,0.08,0.52,0.02,0.21,0.0,0.06,0.03,0.0,2.0,1.78
FBgn0024944,0.15,1.16,0.01,0.02,0.01,0.2,2.26,0.0,0.12,2.26,8.42,10.98,10.85,10.35
FBgn0024945,0.0,2.55,0.04,0.63,0.02,0.37,0.44,0.0,0.81,1.27,19.07,6.15,2.05,2.05
FBgn0024947,0.96,22.65,10.02,38.41,9.63,0.81,9.05,34.38,11.39,2.93,4.05,10.65,27.98,26.8
FBgn0024956,0.0,0.32,0.0,0.0,0.88,0.09,0.0,0.0,0.89,3.16,0.0,0.0,2.13,2.07
FBgn0024957,2.27,3.13,1.1,4.49,1.27,1.45,6.28,9.4,6.59,6.05,4.12,5.1,2.29,1.59
FBgn0024958,0.42,0.8,0.88,0.84,0.04,0.17,3.51,0.6,0.08,0.6,0.63,3.54,1.3,1.53
FBgn0024963,190.01,332.86,284.21,255.38,47.05,79.12,110.17,64.11,78.33,90.56,120.35,200.07,202.31,198.34
FBgn0024973,1.42,0.44,4.98,1.25,0.0,0.0,0.74,0.0,0.0,0.21,0.0,0.0,0.4,0.64
FBgn0024975,0.26,0.2,0.0,0.0,1.06,0.0,0.0,0.0,0.02,0.08,0.0,0.0,0.91,0.51
FBgn0024980,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,1.86
FBgn0024983,0.0,0.0,0.0,0.05,0.03,0.0,0.0,0.0,0.02,0.46,0.0,0.02,0.77,0.99
FBgn0024984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
FBgn0024985,42.27,114.85,66.77,79.71,91.73,120.51,52.36,37.51,77.94,117.39,73.18,59.45,104.31,97.05
FBgn0024986,0.42,2.72,26.68,0.04,1.65,1.35,9.42,14.13,2.55,16.71,0.04,19.31,4.76,7.66
FBgn0024987,38.2,40.66,74.12,74.42,60.9,63.64,45.18,42.53,66.07,90.08,40.95,57.33,85.89,91.67
FBgn0024989,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.22,0.32,0.23
FBgn0024991,0.0,0.0,0.63,0.5,4.62,0.01,0.0,0.03,0.0,0.06,0.03,0.01,0.62,0.52
FBgn0024992,1.12,0.81,0.01,1.18,0.11,0.54,1.85,9.37,1.9,1.37,1.58,0.01,1.36,1.11
FBgn0024993,0.0,0.0,0.0,0.0,0.07,0.0,0.0,2.36,0.0,4.74,0.0,0.0,2.22,1.56
FBgn0024994,0.18,0.0,0.0,0.01,0.0,0.0,0.04,0.0,0.03,1.77,0.0,0.06,1.42,0.81
FBgn0024995,1.32,6.34,0.58,0.0,0.0,6.12,17.36,0.51,0.94,4.39,0.0,0.0,2.63,2.09
FBgn0024996,0.24,0.07,0.02,0.05,1.34,0.2,0.38,0.31,0.98,1.93,0.0,0.0,1.64,1.82
FBgn0024997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.16
FBgn0024998,0.0,1.11,3.99,1.89,0.77,4.54,0.68,0.21,0.02,0.21,0.29,0.22,2.66,2.1
FBgn0025109,0.0,0.8,0.0,4.12,0.0,1.22,0.05,0.05,3.9,0.41,0.0,0.0,1.52,1.55
FBgn0025111,4.18,3.79,7.64,0.85,0.13,2.64,22.88,0.7,8.55,11.79,0.0,5.36,2.29,1.39
FBgn0025115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.14
FBgn0025118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0025185,0.0,0.32,0.33,4.88,0.11,0.62,0.04,0.48,0.3,2.47,0.26,0.71,2.82,1.99
FBgn0025186,18.45,6.16,0.99,3.6,2.09,12.19,8.86,2.2,7.51,5.42,6.49,0.0,7.79,7.54
FBgn0025334,0.0,0.0,0.0,0.0,6.53,0.08,0.0,0.0,0.0,7.59,0.0,0.07,0.72,0.99
FBgn0025335,0.06,2.8,2.95,0.02,0.34,0.04,0.0,0.47,1.37,0.09,0.0,0.04,1.74,1.65
FBgn0025336,1.55,1.61,7.5,3.36,0.68,14.54,0.43,1.93,0.5,1.29,1.26,1.18,3.21,2.7
FBgn0025352,0.0,0.87,0.0,0.18,0.44,0.0,1.05,0.0,1.18,0.55,0.0,0.0,1.02,1.15
FBgn0025355,0.05,1.99,2.33,2.64,4.15,0.59,0.22,0.23,1.0,1.0,0.29,1.29,2.27,2.78
FBgn0025360,2.37,9.02,0.0,0.02,17.51,1.72,0.33,0.0,0.02,0.0,81.48,64.6,8.84,7.6
FBgn0025366,0.0,4.88,1.38,2.48,22.04,3.47,11.17,47.94,4.09,17.83,0.0,2.87,16.9,16.74
FBgn0025373,6.76,1.02,0.04,3.53,0.12,0.76,0.17,2.27,1.48,1.46,3.62,0.02,3.86,4.32
FBgn0025378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
FBgn0025381,57.24,1.12,2.89,10.13,0.82,1.91,5.26,0.0,9.77,4.33,1.43,0.26,6.93,6.72
FBgn0025382,0.0,0.0,0.02,0.0,3.76,0.0,1.04,1.54,0.81,0.0,0.02,0.0,0.77,0.78
FBgn0025383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0
FBgn0025387,0.0,0.0,0.21,0.2,0.0,0.05,0.44,0.0,0.0,0.0,0.0,0.0,0.49,0.45
FBgn0025388,0.03,0.06,0.36,1.76,0.94,1.22,0.28,0.34,0.1,1.25,6.02,1.27,2.53,2.1
FBgn0025390,0.89,0.09,1.28,7.83,6.04,2.0,4.04,6.1,3.86,3.28,1.0,17.21,8.09,7.31
FBgn0025391,10.59,8.38,0.33,9.61,0.29,0.7,0.34,5.13,3.64,11.48,59.54,120.24,8.08,8.33
FBgn0025393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0
FBgn0025394,12.56,9.32,6.31,4.52,16.58,15.56,8.2,6.91,2.91,14.55,0.73,16.75,20.35,20.81
FBgn0025454,0.0,0.13,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.02,0.0,2.71,0.44,0.08
FBgn0025455,7.48,18.07,15.84,27.65,17.24,31.76,18.92,7.61,7.12,17.66,14.26,24.57,24.37,23.86
FBgn0025456,0.0,0.0,0.11,0.21,0.0,11.28,0.23,0.0,1.89,0.96,0.89,0.0,1.32,1.25
FBgn0025457,1.59,1.85,0.99,0.97,14.65,0.0,0.28,0.26,0.7,1.74,0.08,0.03,4.58,4.68
FBgn0025463,9.81,6.2,8.99,10.51,8.94,2.95,9.84,4.03,3.41,14.54,2.53,0.62,8.45,10.17
FBgn0025469,0.0,0.0,0.0,0.74,0.05,12.42,1.54,0.0,0.0,0.0,0.03,0.0,0.9,0.62
FBgn0025519,0.47,0.59,6.26,3.92,0.01,3.7,5.83,0.04,8.41,17.86,0.95,9.81,9.92,10.73
FBgn0025525,5.93,6.81,4.09,8.3,0.64,5.7,3.56,8.02,0.55,9.21,6.56,0.07,12.48,11.97
FBgn0025549,29.3,72.86,66.52,12.7,35.11,67.65,41.31,11.63,22.46,47.68,27.96,14.66,38.89,43.0
FBgn0025558,26.43,16.43,28.0,3.36,4.15,1.17,0.73,0.0,2.13,2.07,36.59,4.96,6.51,5.97
FBgn0025571,0.06,3.51,4.09,6.96,2.26,3.05,5.73,1.9,0.11,1.63,1.94,10.78,7.6,7.96
FBgn0025573,0.0,0.0,0.0,0.0,3.55,0.32,0.0,1.31,0.0,4.75,0.67,1.81,8.44,8.34
FBgn0025574,18.5,27.19,22.79,8.55,4.13,8.33,3.15,0.58,2.44,1.99,2.12,1.27,12.94,14.36
FBgn0025578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0025582,17.39,1.1,1.55,5.1,18.33,0.44,18.23,12.43,0.56,10.74,0.59,2.73,3.21,3.49
FBgn0025583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24,2.59
FBgn0025592,7.49,1.45,10.41,1.26,0.02,0.06,6.67,0.05,5.08,0.53,0.0,0.68,5.4,3.68
FBgn0025595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.24
FBgn0025608,5.82,7.68,6.15,17.15,19.47,44.86,17.42,89.82,15.71,7.7,11.92,16.52,10.21,11.58
FBgn0025612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.81
FBgn0025613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03
FBgn0025615,0.62,1.22,10.4,0.21,0.0,0.06,0.66,9.58,0.03,0.44,0.2,0.67,1.42,0.85
FBgn0025616,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.06,0.0,0.0,0.03,0.18
FBgn0025620,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.16,0.0,0.0,0.47,0.22
FBgn0025621,0.07,0.35,1.13,0.03,0.0,0.0,0.02,0.0,0.05,0.34,0.0,0.19,0.59,0.84
FBgn0025624,0.0,2.15,0.11,5.4,0.12,0.0,0.84,2.62,0.59,0.57,0.0,0.31,1.79,2.38
FBgn0025625,8.15,14.59,1.79,5.7,2.36,4.83,7.41,10.29,5.58,9.64,1.94,18.49,5.84,4.74
FBgn0025626,4.97,7.21,3.93,2.36,0.23,0.83,0.0,0.83,2.06,5.92,1.71,0.04,3.85,3.32
FBgn0025627,0.0,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,1.14
FBgn0025628,0.0,0.32,1.17,1.02,0.02,2.29,0.0,0.03,0.77,1.18,0.78,0.06,2.7,2.63
FBgn0025629,0.0,0.33,0.0,0.0,0.0,0.0,0.2,0.39,0.04,0.18,0.0,0.0,0.66,0.76
FBgn0025630,0.19,0.6,0.0,2.41,0.0,0.05,0.72,1.86,0.06,1.48,0.0,0.0,0.86,0.6
FBgn0025631,0.69,0.14,0.8,0.22,6.32,0.34,0.96,0.24,1.08,1.46,6.58,19.0,7.29,7.3
FBgn0025632,0.08,0.19,0.02,1.9,2.63,0.34,0.76,4.89,0.23,0.27,0.02,0.02,6.98,7.0
FBgn0025633,1.92,7.14,3.03,2.11,0.36,1.15,6.86,1.83,2.99,4.42,6.71,0.69,5.05,5.19
FBgn0025634,0.0,2.21,0.75,0.0,0.0,0.24,0.33,0.0,1.7,2.76,0.29,3.92,2.3,3.2
FBgn0025635,0.81,4.21,0.03,2.25,0.05,0.65,0.41,3.02,1.38,1.85,0.65,6.26,4.01,3.96
FBgn0025637,33.24,40.05,49.51,41.04,60.66,56.19,101.03,12.14,71.39,59.19,73.72,62.35,128.55,135.41
FBgn0025638,0.25,5.71,29.47,15.58,6.42,6.73,6.02,0.6,17.65,41.12,12.42,45.28,13.33,12.61
FBgn0025639,2.85,14.32,12.33,11.85,10.42,22.45,19.54,8.29,14.3,21.05,17.18,19.12,31.81,32.03
FBgn0025640,0.0,0.0,0.85,0.03,0.0,0.0,0.0,0.0,0.2,2.91,0.0,0.76,0.83,1.48
FBgn0025641,0.54,4.41,3.84,4.47,4.39,9.76,7.96,6.18,2.28,3.92,6.71,5.06,9.12,8.86
FBgn0025642,1.88,12.34,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.47,0.13,0.06
FBgn0025643,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.68,0.81,0.34
