"","P392_Q701A","P392_Q701B","P392_Q701C","P392_Q701D","P392_Q701E","P392_Q701F","P392_Q701G","P392_Q701H","P392_Q702A","P392_Q702B","P392_Q702C","P392_Q702D","P392_Q702E","P392_Q702F","P392_Q702G","P392_Q702H","P392_Q703A","P392_Q703B","P392_Q703C","P392_Q703D","P392_Q703E","P392_Q703F","P392_Q703G","P392_Q703H","P392_Q704A","P392_Q704B","P392_Q704C","P392_Q704D","P392_Q704E","P392_Q704F","P392_Q704G","P392_Q704H","P392_Q705A","P392_Q705B","P392_Q705C","P392_Q705D","P392_Q705E","P392_Q705F","P392_Q705G","P392_Q705H","P392_Q706A","P392_Q706B","P392_Q706C","P392_Q706D","P392_Q706E","P392_Q706F","P392_Q706G","P392_Q706H","P392_Q707A","P392_Q707B","P392_Q707C","P392_Q707D","P392_Q707E","P392_Q707F","P392_Q707G","P392_Q707H","P392_Q708A","P392_Q708B","P392_Q708C","P392_Q708D","P392_Q708E","P392_Q708F","P392_Q708G","P392_Q708H","P392_Q709A","P392_Q709B","P392_Q709C","P392_Q709D","P392_Q709E","P392_Q709F","P392_Q709G","P392_Q709H","P392_Q710A","P392_Q710B","P392_Q710C","P392_Q710D","P392_Q710E","P392_Q710F","P392_Q710G","P392_Q710H","P392_Q711A","P392_Q711B","P392_Q711C","P392_Q711D","P392_Q711E","P392_Q711F","P392_Q711G","P392_Q711H","P392_Q712A","P392_Q712B","P392_Q712C","P392_Q712D","P392_Q712E","P392_Q712F","P392_Q712G","P392_Q712H"
"EGFP",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00002",2052,3151,4185,8595,7088,9700,13365,11655,3168,2970,3941,8789,9166,10176,11939,15129,2803,2899,4395,8523,6821,12230,14143,13953,2341,2775,4086,6480,9518,12227,10303,12486,2278,2838,2745,7748,5857,11544,14758,12664,2567,3217,2550,6818,6690,7768,12693,17074,1559,2336,3803,8273,6348,10886,11896,9908,1847,2437,3107,6516,6316,8232,9913,9160,2537,2404,3070,4297,7494,10153,8253,8919,1982,2664,4378,3820,6153,11154,13053,9764,2378,2163,2805,4282,6186,8770,8234,10723,1810,2262,3809,3771,6675,5643,7974,8758
"ERCC-00003",157,337,257,763,587,815,1359,764,219,255,79,358,221,496,901,939,204,131,225,274,473,785,199,1261,100,204,609,520,301,1138,771,909,37,117,158,531,705,175,1230,729,158,121,107,715,659,639,273,183,35,254,83,322,138,458,775,427,90,188,151,255,375,1305,635,497,82,101,284,201,434,367,860,718,166,210,687,218,263,715,1069,588,371,103,41,137,282,308,380,582,86,99,268,463,278,163,529,6
"ERCC-00004",1033,978,1578,3644,2273,4029,5485,5167,1406,1265,1882,3633,3653,3998,6677,4169,1014,1047,2266,3409,2989,4702,9510,5288,1023,1358,1398,3083,4290,4441,5865,4563,854,1515,1250,2316,3453,2820,6455,3856,814,1618,1570,1977,3845,3646,6233,5865,835,971,1458,2484,1821,3583,6082,4143,483,1504,1779,3198,2226,4256,4373,5561,1102,1311,1426,1700,2967,3685,2950,4196,863,1432,1963,2080,3403,6870,5076,4381,1054,928,1295,2182,2555,4661,2855,2664,706,870,1553,1324,2195,2171,3969,3653
"ERCC-00009",261,242,44,380,201,405,596,300,147,209,227,915,478,513,530,1482,95,170,198,877,405,165,479,900,0,49,329,301,124,600,431,735,50,115,160,425,498,346,879,866,17,63,144,403,265,1228,252,1,141,137,200,544,675,124,545,911,9,63,80,318,173,245,224,248,193,7,223,174,255,1040,246,893,113,82,152,169,339,623,435,326,94,35,190,77,105,563,344,196,132,135,90,116,429,392,3,550
"ERCC-00012",0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00013",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00019",0,0,0,86,0,1,2,0,0,0,0,76,86,0,0,0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,10,0,0,0,193,0,14,0,0,0,0,0,0,0,0,17,0,63,0,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,51,0,0,0,138
"ERCC-00022",3,135,28,81,28,306,141,0,38,49,45,126,264,2,188,0,17,2,0,10,103,168,17,196,0,30,39,74,341,171,209,0,22,0,79,132,0,132,1,224,51,7,44,1,103,0,12,1,0,0,82,0,130,121,400,163,0,45,0,79,1,146,224,24,1,0,40,17,320,0,0,126,0,37,17,3,88,166,0,177,65,0,71,118,0,179,379,142,0,0,0,0,37,144,139,0
"ERCC-00024",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ERCC-00025",18,0,72,0,0,35,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,48,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,2,0,0,0,0,0,0,25,38,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00031",0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00034",0,46,0,120,0,3,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00035",1,0,0,0,0,0,0,0,0,35,0,0,0,0,1,1,0,0,87,0,0,0,8,0,0,0,12,0,0,0,0,0,0,14,50,0,85,0,0,0,4,0,32,0,0,0,0,188,18,0,0,1,0,51,452,0,0,0,0,0,74,0,0,0,0,0,0,0,0,118,0,0,0,21,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,17,36,57,0,0,0,0
"ERCC-00039",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00042",42,111,72,1,0,24,220,0,1,84,0,152,148,292,269,261,10,0,0,126,2,7,952,134,25,109,145,0,105,119,439,182,29,68,94,0,104,176,104,185,0,37,94,141,79,194,0,0,50,36,64,190,390,141,6,19,22,28,96,260,332,152,322,258,65,0,15,118,171,191,0,381,42,0,24,210,101,11,625,0,0,41,0,151,80,204,139,0,0,51,170,0,137,232,149,1
"ERCC-00043",105,176,141,48,301,278,1011,432,31,120,191,237,540,138,381,6,0,31,134,480,120,199,166,57,106,126,21,115,3,3,12,463,94,121,108,0,172,399,589,211,81,34,87,316,338,523,6,310,30,42,28,163,205,328,180,521,29,70,77,215,78,0,250,832,135,85,15,64,224,330,289,55,32,117,324,163,110,818,335,214,69,18,30,145,149,109,101,558,52,95,20,182,0,31,1,191
