          EPG-1La    EPG-1Lb    EPG-1Lc    EPG-1Ra    EPG-1Rb    EPG-1Rc    EPG-8La    EPG-8Lb    EPG-8Lc    EPG-2Ra    EPG-2Rb    EPG-2Rc    EPG-7La    EPG-7Lb    EPG-7Lc    EPG-3Ra    EPG-3Rb    EPG-3Rc    EPG-6La    EPG-6Lb    EPG-6Lc    EPG-4Ra    EPG-4Rb    EPG-4Rc    EPG-5La    EPG-5Lb    EPG-5Lc    EPG-5Ra    EPG-5Rb    EPG-5Rc    EPG-4La    EPG-4Lb    EPG-4Lc    EPG-6Ra    EPG-6Rb    EPG-6Rc    EPG-3La    EPG-3Lb    EPG-3Lc    EPG-7Ra    EPG-7Rb    EPG-7Rc    EPG-2La    EPG-2Lb    EPG-2Lc    EPG-8Ra    EPG-8Rb    EPG-8Rc    PEN1-2R    PEN1-3R    PEN1-4R    PEN1-5R    PEN1-6R    PEN1-7R    PEN1-8R    PEN1-9R    PEN1-9L    PEN1-8L    PEN1-7L    PEN1-6L    PEN1-5L    PEN1-4L    PEN1-3L    PEN1-2L    D7-8R1L9La D7-8R1L9Lb D7-8R1L9Lc D7-8R1L9Ld D7-1R8La   D7-1R8Lb   D7-1R8Lc   D7-1R8Ld   D7-2R7La   D7-2R7Lb   D7-2R7Lc   D7-2R7Ld   D7-3R6La   D7-3R6Lb   D7-3R6Lc   D7-3R6Ld   D7-4R5La   D7-4R5Lb   D7-4R5Lc   D7-4R5Ld   D7-5R4La   D7-5R4Lb   D7-5R4Lc   D7-5R4Ld   D7-6R3La   D7-6R3Lb   D7-6R3Lc   D7-6R3Ld   D7-7R2La   D7-7R2Lb   D7-7R2Lc   D7-7R2Ld   D7-8R1La   D7-8R1Lb   D7-8R1Lc   D7-8R1Ld   D7-9R1R8La D7-9R1R8Lb D7-9R1R8Lc D7-9R1R8Ld 
EPG-2Rb    0          0          0          0          0          0          12.6483584 12.6483584 12.6483584 29.4644075 0          29.4644075 12.6483584 12.6483584 12.6483584 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          7.39660709 20.3973115 16.8553584 0          0          0          0          0          20.3973115 16.8553584 0          0          0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 
EPG-2Rc    0          0          0          0          0          0          12.6483584 12.6483584 12.6483584 29.4644075 29.4644075 0          12.6483584 12.6483584 12.6483584 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          7.39660709 20.3973115 16.8553584 0          0          0          0          0          20.3973115 16.8553584 0          0          0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 
EPG-7La    0          0          0          0          0          0          0          0          0          12.6483584 12.6483584 12.6483584 0          29.4644075 29.4644075 12.6483584 12.6483584 12.6483584 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          16.8553584 20.3973115 0          0          0          0          0          16.8553584 20.3973115 7.39660709 0          0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 
EPG-7Lb    0          0          0          0          0          0          0          0          0          12.6483584 12.6483584 12.6483584 29.4644075 0          29.4644075 12.6483584 12.6483584 12.6483584 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          16.8553584 20.3973115 0          0          0          0          0          16.8553584 20.3973115 7.39660709 0          0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 
EPG-7Lc    0          0          0          0          0          0          0          0          0          12.6483584 12.6483584 12.6483584 29.4644075 29.4644075 0          12.6483584 12.6483584 12.6483584 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          16.8553584 20.3973115 0          0          0          0          0          16.8553584 20.3973115 7.39660709 0          0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 
EPG-3Ra    0          0          0          0          0          0          0          0          0          0          0          0          12.6483584 12.6483584 12.6483584 0          29.4644075 29.4644075 12.6483584 12.6483584 12.6483584 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          7.39660709 20.3973115 16.8553584 0          0          0          0          0          20.3973115 16.8553584 0          0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 
EPG-3Rb    0          0          0          0          0          0          0          0          0          0          0          0          12.6483584 12.6483584 12.6483584 29.4644075 0          29.4644075 12.6483584 12.6483584 12.6483584 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          7.39660709 20.3973115 16.8553584 0          0          0          0          0          20.3973115 16.8553584 0          0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 
EPG-3Rc    0          0          0          0          0          0          0          0          0          0          0          0          12.6483584 12.6483584 12.6483584 29.4644075 29.4644075 0          12.6483584 12.6483584 12.6483584 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          7.39660709 20.3973115 16.8553584 0          0          0          0          0          20.3973115 16.8553584 0          0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 
EPG-6La    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6483584 12.6483584 12.6483584 0          29.4644075 29.4644075 12.6483584 12.6483584 12.6483584 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          16.8553584 20.3973115 0          0          0          0          0          16.8553584 20.3973115 7.39660709 0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 
EPG-6Lb    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6483584 12.6483584 12.6483584 29.4644075 0          29.4644075 12.6483584 12.6483584 12.6483584 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          16.8553584 20.3973115 0          0          0          0          0          16.8553584 20.3973115 7.39660709 0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 
EPG-6Lc    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6483584 12.6483584 12.6483584 29.4644075 29.4644075 0          12.6483584 12.6483584 12.6483584 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          16.8553584 20.3973115 0          0          0          0          0          16.8553584 20.3973115 7.39660709 0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 
EPG-4Ra    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6483584 12.6483584 12.6483584 0          29.4644075 29.4644075 12.6483584 12.6483584 12.6483584 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          7.39660709 20.3973115 16.8553584 0          0          0          0          0          20.3973115 16.8553584 0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 
EPG-4Rb    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6483584 12.6483584 12.6483584 29.4644075 0          29.4644075 12.6483584 12.6483584 12.6483584 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          7.39660709 20.3973115 16.8553584 0          0          0          0          0          20.3973115 16.8553584 0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 
EPG-4Rc    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6483584 12.6483584 12.6483584 29.4644075 29.4644075 0          12.6483584 12.6483584 12.6483584 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          7.39660709 20.3973115 16.8553584 0          0          0          0          0          20.3973115 16.8553584 0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 
EPG-5La    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6483584 12.6483584 12.6483584 0          29.4644075 29.4644075 12.6483584 12.6483584 12.6483584 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          16.8553584 20.3973115 0          0          0          0          0          16.8553584 20.3973115 7.39660709 0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 
EPG-5Lb    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6483584 12.6483584 12.6483584 29.4644075 0          29.4644075 12.6483584 12.6483584 12.6483584 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          16.8553584 20.3973115 0          0          0          0          0          16.8553584 20.3973115 7.39660709 0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 
EPG-5Lc    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6483584 12.6483584 12.6483584 29.4644075 29.4644075 0          12.6483584 12.6483584 12.6483584 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          16.8553584 20.3973115 0          0          0          0          0          16.8553584 20.3973115 7.39660709 0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 
EPG-5Ra    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6483584 12.6483584 12.6483584 0          29.4644075 29.4644075 12.6483584 12.6483584 12.6483584 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          7.39660709 20.3973115 16.8553584 0          0          0          0          0          20.3973115 16.8553584 0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 
EPG-5Rb    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6483584 12.6483584 12.6483584 29.4644075 0          29.4644075 12.6483584 12.6483584 12.6483584 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          7.39660709 20.3973115 16.8553584 0          0          0          0          0          20.3973115 16.8553584 0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 0          0          0          0          6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 6.01022553 
